state,avg_salary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"54,095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,"72,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,"50,782",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,"50,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,"84,531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,"57,706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,"78,427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,"64,853",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,"79,350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,"49,102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,"60,578",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,"65,409",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,"52,875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,"68,083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,"51,745",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,"58,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,"51,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,"53,907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,"51,566",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,"55,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,"73,444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,"84,290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,"63,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,"58,663",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,"46,843",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,"50,817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,"52,135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,"55,267",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,"56,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,"59,622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,"76,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,"54,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,"87,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,"54,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,"53,525",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,"61,406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,"54,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,"67,685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,"70,339",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,"75,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,"53,329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,"48,984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,"51,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,"57,090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,"54,678",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,"61,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,"57,665",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,"76,743",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,"50,238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,"59,431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,"59,786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,